"记录类型","报告月份","用量日期_中国时区","请求时间_UTC","数据时点_UTC","用户名","用户ID","接口","请求模型","上游模型","客户模型别名","输入Token","输出Token","总Token","缓存Token","缓存读取Token","缓存创建Token","图片数","视频数","计量类型","计量数量","计费SKU","价格版本","计费模式","模型倍率","输出倍率","缓存读取倍率","图片倍率","视频倍率","请求日志费用_分","请求日志费用_USD","日账本费用_分","日账本费用_USD","日账本计费请求数","请求日志记录数","耗时毫秒","状态码"
"日账本日汇总","2026-08","2026-08-01","","2026-08-01T14:33:09.412Z","datayes_coin","u_dbe7e7c286d9097b52f6b49c","","","","","6177122","66901","6244023","","","","0","0","","","","","","","","","","","","","898","8.98","8222","8295","",""
"请求明细","2026-08","2026-08-01","2026-07-31T16:00:05Z","2026-08-01T14:32:23.151Z","datayes_coin","u_dbe7e7c286d9097b52f6b49c","responses","gpt-5.5","gpt-5.5","gpt-5.5","465","20","485","0","0","0","0","0","tokens","485","legacy-default-text","0","explicit_price","1","1","0.1","1","1","0","0.00","","","","","3404","200"
"请求明细","2026-08","2026-08-01","2026-07-31T16:00:05Z","2026-08-01T14:32:23.151Z","datayes_coin","u_dbe7e7c286d9097b52f6b49c","messages","claude-sonnet-5","claude-sonnet-5","claude-sonnet-5","122","1","123","60","60","3","0","0","tokens","123","claude-code-compat-text","1","multiplier","6","1","0.1","1","1","0","0.00","","","","","2826","200"
"请求明细","2026-08","2026-08-01","2026-07-31T16:00:13Z","2026-08-01T14:32:23.151Z","datayes_coin","u_dbe7e7c286d9097b52f6b49c","responses","gpt-5.6","gpt-5.6-sol","gpt-5.6","76","5","81","0","0","0","0","0","tokens","81","legacy-gpt-5.6-sol-text","0","multiplier","1","1","0.1","1","1","0","0.00","","","","","2510","200"
"请求明细","2026-08","2026-08-01","2026-07-31T16:00:13Z","2026-08-01T14:32:23.151Z","datayes_coin","u_dbe7e7c286d9097b52f6b49c","responses","gpt-5.4","gpt-5.4","gpt-5.4","372","5","377","0","0","0","0","0","tokens","377","legacy-gpt-5.4-text","0","explicit_price","1","1","0.1","1","1","0","0.00","","","","","11918","200"
"请求明细","2026-08","2026-08-01","2026-07-31T16:00:29Z","2026-08-01T14:32:23.151Z","datayes_coin","u_dbe7e7c286d9097b52f6b49c","messages","claude-sonnet-4-6","claude-sonnet-4-6","claude-sonnet-4-6","122","1","123","60","60","3","0","0","tokens","123","claude-code-compat-text","1","multiplier","6","1","0.1","1","1","0","0.00","","","","","2708","200"
"请求明细","2026-08","2026-08-01","2026-07-31T16:00:45Z","2026-08-01T14:32:23.151Z","datayes_coin","u_dbe7e7c286d9097b52f6b49c","responses","gpt-5.6-luna","gpt-5.6-luna","gpt-5.6-luna","76","5","81","0","0","0","0","0","tokens","81","legacy-gpt-5.6-luna-text","0","multiplier","1","1","0.1","1","1","0","0.00","","","","","2483","200"
"请求明细","2026-08","2026-08-01","2026-07-31T16:01:04Z","2026-08-01T14:32:23.151Z","datayes_coin","u_dbe7e7c286d9097b52f6b49c","responses","gpt-5.5","gpt-5.5","gpt-5.5","465","17","482","0","0","0","0","0","tokens","482","legacy-default-text","0","explicit_price","1","1","0.1","1","1","0","0.00","","","","","2364","200"
"请求明细","2026-08","2026-08-01","2026-07-31T16:01:05Z","2026-08-01T14:32:23.151Z","datayes_coin","u_dbe7e7c286d9097b52f6b49c","messages","claude-sonnet-5","claude-sonnet-5","claude-sonnet-5","122","1","123","60","60","3","0","0","tokens","123","claude-code-compat-text","1","multiplier","6","1","0.1","1","1","0","0.00","","","","","2710","200"
"请求明细","2026-08","2026-08-01","2026-07-31T16:01:09Z","2026-08-01T14:32:23.151Z","datayes_coin","u_dbe7e7c286d9097b52f6b49c","responses","gpt-5.4","gpt-5.4","gpt-5.4","372","5","377","0","0","0","0","0","tokens","377","legacy-gpt-5.4-text","0","explicit_price","1","1","0.1","1","1","0","0.00","","","","","7912","200"
